epoch,Embedding_loss,Softmax_accuracy,Softmax_loss,loss,lr,val_Embedding_loss,val_Softmax_accuracy,val_Softmax_loss,val_loss
0,0.1746162623167038,0.3352312743663788,2.8409039974212646,3.015521287918091,0.001,0.08783046901226044,0.8689236044883728,2.095970630645752,2.1838009357452393
1,0.14240756630897522,0.7849134802818298,1.1458395719528198,1.2882466316223145,0.001,0.09893948584794998,0.9895833134651184,0.7639575004577637,0.8628969192504883
2,0.1191125139594078,0.9110611081123352,0.5772196650505066,0.6963320970535278,0.001,0.043608300387859344,0.9991319179534912,0.2827827036380768,0.32639098167419434
3,0.1061454489827156,0.9534339904785156,0.3367811143398285,0.4429266154766083,0.001,0.02538221701979637,1.0,0.11202612519264221,0.1374083161354065
4,0.10238675773143768,0.9712217450141907,0.2189537137746811,0.32134056091308594,0.001,0.03502665460109711,1.0,0.0678812563419342,0.10290791094303131
5,0.09648077189922333,0.9783280491828918,0.1617053598165512,0.25818607211112976,0.001,0.02439728006720543,1.0,0.0395224392414093,0.06391970813274384
6,0.09200405329465866,0.983712911605835,0.1239858940243721,0.21598994731903076,0.001,0.029512912034988403,1.0,0.02486518770456314,0.054378099739551544
7,0.09339936077594757,0.9868467450141907,0.09899603575468063,0.1923954039812088,0.001,0.01869676075875759,1.0,0.01832461915910244,0.03702137991786003
8,0.09414399415254593,0.9886122941970825,0.08106574416160583,0.1752096563577652,0.001,0.010381422936916351,1.0,0.01423699501901865,0.024618417024612427
9,0.09289688616991043,0.9891861081123352,0.07155216485261917,0.1644490510225296,0.001,0.03850626200437546,1.0,0.01081455871462822,0.049320824444293976
10,0.08788347989320755,0.9916578531265259,0.05947510525584221,0.14735865592956543,0.001,0.004020323511213064,1.0,0.009083772078156471,0.013104095123708248
11,0.08213339745998383,0.9921875,0.05150924250483513,0.13364264369010925,0.001,0.0,1.0,0.00664268434047699,0.00664268434047699
12,0.08383777737617493,0.9928054213523865,0.0477353110909462,0.13157300651073456,0.001,0.014939116314053535,1.0,0.005538678262382746,0.020477795973420143
13,0.08613184839487076,0.9937765002250671,0.04218392074108124,0.1283157765865326,0.001,0.0202200785279274,0.9991319179534912,0.005877393763512373,0.02609746903181076
14,0.07622548937797546,0.9945709705352783,0.036365680396556854,0.1125912070274353,0.001,0.011167588643729687,1.0,0.003961145877838135,0.015128735452890396
15,0.07266002148389816,0.9939971566200256,0.035378556698560715,0.10803864151239395,0.001,0.011090412735939026,1.0,0.0036853807978332043,0.014775793999433517
